CSDBTABREF;TABLES REFECTOIRES
CSDBBREF;bancs refectoires
CSDBTBLC;tableau blanc de classe
CSDBTBLDM;tableaux de decoration murale
CSDBCLIMA;climatiseur
CSDBPTABL;petite table
CSDBGTABL;grande table
CSDBCHAC;chaise
CSDBRECH;rechaud
CSDBBGAZ;bouteille de gaz
CSDBARMOIR;armoire
CSDBREFRI;Refrigerateur
CSDBBUR;bureau
CSDBCHBUR;chaises de bureau
CSDBORDINA;ordinateur
CSDBTELFIX;telephone fixe
CSDBCLIMA;climatiseur
CSDBPOUBE;poubelle
CSDBGPJ;grande plante cote jardin
CSDBETA;Etagere
CSDBTBLAF;Tableau de affichage
CSDBPTAB;petite table
CSDBPOUF;poufs
CSDBTABEL;tables de eleves
CSDBTBL;tableau blanc
CSDBCHAIS;chaises
CSDBCLIMA;climatiseur
CSDBABIBLI;argentieres de bibliotheque
CSDBTABBOI;grande table carree en bois
CSDBFOUTEU;fauteuil
CSDBCHNOI;chaise noire
CSDBBUFFLE;Buffles
CSDBCPAPIE;Coupeuse de papier
CSDBPLASTI;plastifieuse
CSDBIMPRIM;imprimante
CSDBPPP;pot de plante plastique
CSDBAFSDB;grandes affiches Simone de Beauvoir
CSDBMOMTRE;montre
CSDBSCAN;scanner
CSDBCALEND;calendrier de decoration
CSDBPBOUG;porte bougie
CSDBMGELIN;machine A gel desinfectant
CSDBTABORD;tables De ordinateurs
CSDBTABPRO;table de professeur
CSDBTABMA;tableaux
CSDBPPP;petites plantes plastiques
CSDBTBLT;TBI
CSDBDSHOW;data show
CSDBTABHAU;tables hautes
CSDBCHABIS;chaises bistrot
CSDBPRASOL;parasols
CSDBTABLE;tables
CSDBPLA;plantes
CSDBCADRE;CADRE
CSDBVASE;VASE
